code,cityName,lon,lat,hgt,area,pop,forest,shrubland,grassland,cropland,builtup,bares,snow,water,wetland,mangroves,moss
320400,常州市,119.95000,31.77000,5.24000,0.42000,5275468,0.16375,0.00065,0.00913,0.42259,0.20954,0.10140,0.00000,0.09168,0.00127,0.00000,0.00000
320500,苏州市,120.62000,31.30000,8.00000,0.82000,11609820,0.09549,0.00118,0.00994,0.26554,0.23331,0.08027,0.00000,0.30651,0.00776,0.00000,0.00000
320600,南通市,120.86000,32.02000,3.81000,0.91000,7720614,0.04361,0.00213,0.01396,0.56916,0.17580,0.08801,0.00000,0.10536,0.00197,0.00000,0.00000
320700,连云港市,119.18000,34.60000,19.08000,0.73000,4594475,0.03252,0.00164,0.00590,0.66808,0.11265,0.07685,0.00000,0.09630,0.00606,0.00000,0.00000
320800,淮安市,119.02000,33.60000,11.62000,0.97000,4550556,0.06294,0.00046,0.00437,0.68563,0.06057,0.04682,0.00000,0.13105,0.00815,0.00000,0.00000
320900,盐城市,120.14000,33.38000,1.49000,1.50000,6700384,0.02654,0.00447,0.00282,0.72566,0.07088,0.05803,0.00000,0.09773,0.01388,0.00000,0.00000
321000,扬州市,119.42000,32.39000,9.62000,0.63000,4555748,0.04635,0.00066,0.00645,0.65787,0.12575,0.05570,0.00000,0.10179,0.00543,0.00000,0.00000
321100,镇江市,119.45000,32.20000,13.34000,0.37000,3207925,0.17035,0.00046,0.00789,0.48406,0.16740,0.09794,0.00000,0.07132,0.00058,0.00000,0.00000
321200,泰州市,119.92000,32.48000,3.54000,0.56000,4510754,0.02553,0.00137,0.00779,0.66314,0.17673,0.06880,0.00000,0.05398,0.00267,0.00000,0.00000
321300,宿迁市,118.28000,33.96000,21.88000,0.83000,4981342,0.03491,0.00055,0.00481,0.70019,0.08229,0.05386,0.00000,0.11521,0.00818,0.00000,0.00000
330100,杭州市,120.15000,30.29000,20.31000,1.57000,12418477,0.72959,0.00033,0.01107,0.07739,0.08385,0.04384,0.00000,0.05365,0.00027,0.00000,0.00000
330200,宁波市,121.55000,29.87000,6.66000,0.89000,9400283,0.44507,0.00044,0.01268,0.16956,0.14819,0.07832,0.00000,0.14400,0.00174,0.00000,0.00000
330300,温州市,120.67000,28.00000,63.32000,1.06000,9569286,0.66073,0.00021,0.04726,0.08158,0.07396,0.05139,0.00000,0.08399,0.00088,0.00000,0.00000
330400,嘉兴市,120.75000,30.76000,6.55000,0.46000,5398158,0.08568,0.00253,0.00949,0.44247,0.20052,0.10207,0.00000,0.15634,0.00090,0.00000,0.00000
330500,湖州市,120.10000,30.87000,20.59000,0.55000,3364616,0.49977,0.00039,0.00657,0.26127,0.10984,0.08765,0.00000,0.03269,0.00181,0.00000,0.00000
330600,绍兴市,120.58000,30.00000,33.97000,0.77000,5267601,0.62623,0.00026,0.01031,0.15328,0.09737,0.06847,0.00000,0.04370,0.00039,0.00000,0.00000
330700,金华市,119.65000,29.09000,60.51000,1.01000,7047079,0.68004,0.00036,0.01673,0.13983,0.08219,0.06311,0.00000,0.01759,0.00015,0.00000,0.00000
330800,衢州市,118.87000,28.94000,85.24000,0.82000,2273493,0.74825,0.00066,0.01329,0.12656,0.04515,0.04639,0.00000,0.01940,0.00030,0.00000,0.00000
330900,舟山市,122.11000,30.02000,46.83000,0.12000,1157124,0.38321,0.00019,0.01935,0.07256,0.12553,0.08817,0.00000,0.30768,0.00331,0.00000,0.00000
331000,台州市,121.43000,28.66000,27.93000,0.89000,6619389,0.60239,0.00047,0.02500,0.12039,0.09573,0.05059,0.00000,0.10343,0.00199,0.00000,0.00000
331100,丽水市,119.92000,28.45000,227.54000,1.59000,2504828,0.88619,0.00010,0.03825,0.02320,0.01606,0.02490,0.00000,0.01129,0.00000,0.00000,0.00000
340100,合肥市,117.28000,31.86000,23.99000,1.09000,9363238,0.15203,0.00026,0.01121,0.58286,0.07959,0.08553,0.00000,0.08611,0.00242,0.00000,0.00000
340200,芜湖市,118.38000,31.33000,7.68000,0.57000,3640412,0.23902,0.00041,0.00697,0.50782,0.08067,0.10265,0.00000,0.05849,0.00397,0.00000,0.00000
340300,蚌埠市,117.36000,32.94000,24.49000,0.58000,3292730,0.02352,0.00020,0.00419,0.81661,0.06242,0.04454,0.00000,0.04141,0.00711,0.00000,0.00000
340400,淮南市,117.02000,32.65000,32.72000,0.53000,3030206,0.03557,0.00042,0.00575,0.75878,0.06782,0.05346,0.00000,0.07258,0.00564,0.00000,0.00000
340500,马鞍山市,118.51000,31.69000,18.88000,0.39000,2157501,0.20077,0.00015,0.00744,0.52062,0.08806,0.09474,0.00000,0.08273,0.00548,0.00000,0.00000
340600,淮北市,116.79000,33.97000,38.89000,0.27000,1968378,0.04427,0.00021,0.01789,0.75647,0.10849,0.06165,0.00000,0.01070,0.00034,0.00000,0.00000
340700,铜陵市,117.82000,30.93000,39.93000,0.28000,1310134,0.34245,0.00010,0.00698,0.39957,0.05285,0.06965,0.00000,0.11469,0.01371,0.00000,0.00000
340800,安庆市,117.04000,30.51000,23.93000,1.27000,4159474,0.47596,0.00007,0.01341,0.31353,0.03804,0.05720,0.00000,0.09110,0.01070,0.00000,0.00000
341000,黄山市,118.32000,29.71000,166.13000,0.90000,1328877,0.90839,0.00008,0.00473,0.03578,0.01794,0.02123,0.00000,0.01179,0.00006,0.00000,0.00000
341100,滁州市,118.32000,32.30000,40.69000,1.30000,3979779,0.16557,0.00010,0.01324,0.68172,0.04263,0.05095,0.00000,0.04026,0.00553,0.00000,0.00000
341200,阜阳市,115.82000,32.90000,30.03000,0.98000,8193632,0.02884,0.00019,0.00309,0.78411,0.11832,0.04822,0.00000,0.01533,0.00188,0.00000,0.00000
341500,六安市,116.51000,31.75000,52.57000,1.47000,4387362,0.48199,0.00005,0.00740,0.38323,0.03162,0.05937,0.00000,0.03416,0.00219,0.00000,0.00000
341600,亳州市,115.78000,33.87000,39.02000,0.83000,4991157,0.02313,0.00041,0.00183,0.85545,0.08204,0.03259,0.00000,0.00447,0.00008,0.00000,0.00000
341700,池州市,117.49000,30.66000,35.13000,0.78000,1340046,0.73109,0.00007,0.00662,0.16324,0.02385,0.03303,0.00000,0.03677,0.00533,0.00000,0.00000
341800,宣城市,118.76000,30.95000,27.93000,1.16000,2495576,0.69473,0.00009,0.01014,0.18695,0.02684,0.05366,0.00000,0.02684,0.00076,0.00000,0.00000
350100,福州市,119.31000,26.08000,96.52000,1.05000,8287912,0.68000,0.00024,0.04263,0.05541,0.07527,0.06008,0.00000,0.08572,0.00046,0.00018,0.00000
350200,厦门市,118.11000,24.49000,12.28000,0.14000,5163237,0.42999,0.00018,0.02843,0.07358,0.21466,0.11824,0.00000,0.13475,0.00017,0.00000,0.00000
350300,莆田市,119.01000,25.43000,101.66000,0.35000,3209113,0.62174,0.00026,0.03578,0.09007,0.10498,0.07779,0.00000,0.06910,0.00028,0.00000,0.00000
350400,三明市,117.64000,26.27000,468.41000,2.08000,2483093,0.86252,0.00009,0.04602,0.04643,0.01256,0.02364,0.00000,0.00874,0.00000,0.00000,0.00000
